M1C	M1Cy	M1C+Munc18c	M1C+Munc18c	baseT10C	baseT10C	T10C+Munc18c	T10C+Munc18c	T10cend	T10cend	baseD27C	baseD27C	D27C+Munc18c	D27C+Munc18c	baseC141	baseC141	C141+Munc18c	C141+Munc18c
34.115	0.119563751	34.104	0.170204431	34.108	0.108569443	34.268	0.136325449	34.112	0.1341109	34.105	0.115267694	34.115	0.1486585	34.111	0.15067549	34.103	0.169759929
35.115	0.118341312	35.104	0.167935044	35.108	0.1101502	35.268	0.134495258	35.112	0.138016239	35.105	0.11087288	35.114	0.145371825	35.111	0.144852191	35.103	0.171534047
37.115	0.118451566	37.104	0.175987691	37.108	0.10624706	37.268	0.137067	37.105	0.117577776	37.114	0.14558135	37.112	0.148400977	37.103	0.171127766	NA	NA
38.115	0.12192262	38.104	0.166882068	38.108	0.114546314	38.268	0.13735427	38.105	0.111563511	38.115	0.148220375	38.112	0.1491889	38.103	0.1726596	NA	NA
39.115	0.118040606	39.108	0.167715251	39.108	0.112775423	39.268	0.13174133	39.105	0.111745462	39.115	0.146892339	39.112	0.150741413	39.103	0.173899308	NA	NA
40.115	0.12062721	40.108	0.165795118	40.108	0.112776279	40.268	0.131677866	40.105	0.114615925	40.115	0.143313468	40.112	0.147876427	40.103	0.172359034	NA	NA
41.115	0.119526878	41.108	0.174078077	41.108	0.110573933	41.268	0.1378632	41.105	0.115099326	41.115	0.1492986	41.112	0.148090065	41.103	0.1713983	NA	NA
42.115	0.120289229	42.108	0.175050259	42.108	0.113130018	42.268	0.1364613	42.105	0.117716752	42.115	0.147136167	42.112	0.15074183	42.103	0.170549825	NA	NA
43.115	0.118855834	43.108	0.174670309	43.108	0.106552526	43.268	0.13518925	43.105	0.11341127	43.116	0.1484348	43.112	0.148444325	43.103	0.170365885	NA	NA
44.115	0.120633	44.108	0.171337351	44.108	0.110653341	44.268	0.135976046	44.105	0.113981314	44.116	0.146983519	44.112	0.15067938	44.103	0.172563076	NA	NA
45.115	0.120613	45.108	0.171375439	45.108	0.108467609	45.268	0.134173155	45.105	0.118281707	45.116	0.145998865	45.112	0.150764287	45.103	0.171715721	NA	NA
46.115	0.115677923	46.108	0.167689025	46.108	0.108237274	46.269	0.13721621	46.105	0.118223615	46.116	0.147476539	46.112	0.150844961	46.103	0.172441557	NA	NA
47.115	0.118554056	47.108	0.169529036	47.108	0.108944543	47.269	0.135555223	47.105	0.114927687	47.116	0.14711903	47.112	0.1478045	47.103	0.167188883	NA	NA
48.115	0.117564492	48.108	0.16906561	48.108	0.114508457	48.269	0.133567363	48.105	0.114828609	48.116	0.1460943	48.112	0.148554236	48.103	0.172672674	NA	NA
49.115	0.113840543	49.108	0.172807947	49.108	0.110984683	49.269	0.138931632	49.105	0.116386853	49.116	0.145866677	49.112	0.148324758	49.103	0.172218218	NA	NA
50.115	0.119977742	50.108	0.173478067	50.108	0.11622788	50.269	0.13817504	50.105	0.118563116	50.116	0.147408962	50.113	0.1499869	50.103	0.169862658	NA	NA
51.115	0.116817653	51.108	0.1738509	51.108	0.111679785	51.269	0.134198353	51.105	0.119758219	51.116	0.1459664	51.113	0.147425786	51.103	0.172602609	NA	NA
52.115	0.122314207	52.108	0.1724955	52.108	0.110811755	52.269	0.138936669	52.105	0.115385123	52.116	0.147736311	52.113	0.1490024	52.103	0.174891785	NA	NA
53.115	0.122365274	53.108	0.167992949	53.108	0.113888577	53.269	0.133033141	53.106	0.117653511	53.116	0.1456108	53.113	0.146119982	53.103	0.170188248	NA	NA
54.115	0.11805819	54.108	0.172377929	54.108	0.11142648	54.269	0.137389183	54.106	0.114810482	54.116	0.148975834	54.113	0.1493416	54.103	0.1739614	NA	NA
55.115	0.122619651	55.108	0.1712334	55.108	0.111994557	55.269	0.13791512	55.106	0.116709746	55.116	0.144931525	55.113	0.14901714	55.103	0.170968741	NA	NA
56.122	0.117024742	56.108	0.165273711	56.108	0.110856973	56.269	0.138433039	56.106	0.117830753	56.116	0.14609386	56.113	0.1507281	56.103	0.1740914	NA	NA
57.122	0.123118557	57.108	0.171573013	57.108	0.112552509	57.269	0.138530985	57.106	0.1198653	57.116	0.14563337	57.113	0.147890359	57.103	0.172718421	NA	NA
58.122	0.118079707	58.108	0.168940619	58.108	0.109368563	58.269	0.1358055	58.106	0.118129082	58.116	0.1439028	58.113	0.147810981	58.103	0.170792654	NA	NA
59.122	0.117671959	59.108	0.169351473	59.108	0.112464473	59.269	0.135981157	59.106	0.119447507	59.116	0.145896688	59.113	0.149039835	59.103	0.172954857	NA	NA
60.122	0.116684049	60.108	0.168825388	60.108	0.114226073	60.269	0.133407846	60.106	0.115645535	60.116	0.144495457	60.113	0.149292633	60.103	0.170240656	NA	NA
61.122	0.119300179	61.108	0.170512587	61.108	0.1118298	61.269	0.136661246	61.106	0.119780324	61.116	0.141102329	61.113	0.150857151	61.103	0.17393136	NA	NA
62.122	0.121921919	62.108	0.169948414	62.108	0.112877965	62.269	0.139507234	62.106	0.122370407	62.116	0.14326413	62.113	0.149157137	62.103	0.1766898	NA	NA
63.122	0.117540069	63.108	0.170067579	63.108	0.11411611	63.269	0.133913413	63.106	0.117387965	63.116	0.14673619	63.113	0.146589175	63.103	0.172324568	NA	NA
64.122	0.119244523	64.108	0.174142152	64.108	0.112740777	64.269	0.139439166	64.106	0.12434008	64.116	0.148650825	64.113	0.149135768	64.103	0.171020225	NA	NA
65.122	0.118790768	65.108	0.169122249	65.108	0.114942886	65.269	0.137262	65.106	0.122341082	65.116	0.145752132	65.113	0.147383422	65.103	0.1697741	NA	NA
66.122	0.115231819	66.108	0.171435058	66.108	0.114944413	66.269	0.1336908	66.106	0.120045133	66.116	0.146800533	66.113	0.149782777	66.103	0.172044531	NA	NA
67.122	0.119186528	67.108	0.169870436	67.108	0.113845058	67.269	0.137095109	67.106	0.117357664	67.116	0.146093562	67.113	0.150592059	67.104	0.170765057	NA	NA
68.122	0.1208061	68.108	0.171234384	68.108	0.116515249	68.269	0.133104652	68.106	0.116056949	68.116	0.144840255	68.113	0.149692073	68.104	0.174247846	NA	NA
69.122	0.12163154	69.108	0.175171018	69.108	0.1064012	69.269	0.134438887	69.106	0.11745315	69.116	0.14847891	69.113	0.146878466	69.104	0.169945776	NA	NA
70.122	0.120678671	70.108	0.170603514	70.108	0.114486985	70.269	0.135648444	70.106	0.119267613	70.116	0.145245239	70.113	0.15032132	70.104	0.17350401	NA	NA
71.122	0.12222971	71.108	0.169754446	71.108	0.113048911	71.269	0.134001777	71.106	0.120394714	71.116	0.147372067	71.113	0.150400326	71.104	0.173585817	NA	NA
72.122	0.118070893	72.108	0.168417484	72.108	0.113455169	72.269	0.134796843	72.106	0.11849428	72.116	0.14941299	72.113	0.149442554	72.104	0.172916859	NA	NA
73.122	0.1182167	73.108	0.171876714	73.108	0.107622355	73.269	0.134554952	73.106	0.120301142	73.116	0.147004336	73.113	0.150812492	73.108	0.172170565	NA	NA
74.122	0.1174848	74.108	0.172695741	74.108	0.114575915	74.269	0.1353846	74.106	0.118282542	74.116	0.146661162	74.113	0.147382125	74.108	0.17205292	NA	NA
75.122	0.12290667	75.108	0.1741121	75.108	0.1162117	75.269	0.138550982	75.106	0.120904423	75.116	0.145098418	75.113	0.148843214	75.108	0.172539264	NA	NA
76.122	0.119074523	76.108	0.171365589	76.108	0.117174745	76.269	0.134447113	76.106	0.119808391	76.116	0.146221846	76.113	0.151134938	76.108	0.174005121	NA	NA
77.122	0.117280811	77.108	0.171744645	77.108	0.116358049	77.269	0.138082847	77.106	0.123807587	77.116	0.14693816	77.113	0.148456216	77.108	0.171301275	NA	NA
78.122	0.121475831	78.108	0.170937151	78.108	0.114370279	78.269	0.138460591	78.106	0.117563382	78.116	0.147576556	78.113	0.14868103	78.108	0.172761649	NA	NA
79.122	0.120279327	79.108	0.170437768	79.108	0.116734944	79.269	0.13303104	79.106	0.1206705	79.116	0.140606761	79.113	0.15053834	79.112	0.171863228	NA	NA
80.122	0.119986311	80.108	0.173165262	80.108	0.119394064	80.269	0.1347028	80.106	0.118557259	80.116	0.147525892	80.113	0.151410669	80.112	0.173086166	NA	NA
81.122	0.115226731	81.108	0.17247811	81.108	0.114361092	81.269	0.1378745	81.106	0.111711465	81.116	0.143641159	81.113	0.14901869	81.112	0.170151979	NA	NA
82.122	0.117470562	82.108	0.165963531	82.108	0.1153046	82.269	0.13924022	82.106	0.11463277	82.116	0.150298879	82.113	0.150004387	82.112	0.172672376	NA	NA
83.122	0.118361033	83.108	0.1699462	83.108	0.114978358	83.269	0.140492544	83.106	0.122106537	83.116	0.146648973	83.113	0.150996909	83.112	0.17224291	NA	NA
84.122	0.118887484	84.108	0.1705893	84.108	0.120173045	84.269	0.137093022	84.106	0.119643971	84.116	0.142207533	84.113	0.149416819	84.112	0.171561763	NA	NA
85.122	0.117415875	85.108	0.171478882	85.108	0.117933393	85.269	0.13500686	85.106	0.123716295	85.116	0.144583732	85.113	0.147149682	85.112	0.173150629	NA	NA
86.122	0.116093583	86.108	0.172177628	86.108	0.112102658	86.269	0.135492131	86.106	0.12075004	86.116	0.143716723	86.113	0.148737118	86.112	0.1730386	NA	NA
87.122	0.120834604	87.108	0.169149175	87.108	0.116012678	87.269	0.137335941	87.106	0.126630738	87.116	0.1471307	87.113	0.149905339	87.112	0.169726625	NA	NA
88.122	0.118002452	88.108	0.171786845	88.108	0.117918566	88.269	0.136223733	88.106	0.1210939	88.116	0.147431925	88.113	0.148408964	88.112	0.171320736	NA	NA
89.122	0.125261188	89.108	0.173260838	89.108	0.123626873	89.269	0.136843935	89.106	0.126000136	89.116	0.147042617	89.113	0.1493453	89.141	0.172394961	NA	NA
90.122	0.121052369	90.108	0.168198228	90.108	0.112218052	90.269	0.138988659	90.107	0.119641759	90.116	0.144648165	90.113	0.149006665	90.091	0.17028141	NA	NA
91.122	0.119735673	91.108	0.169796959	91.108	0.118555434	91.269	0.1344036	91.107	0.120318323	91.116	0.1454935	91.113	0.151499376	91.091	0.173447937	NA	NA
92.123	0.1225399	92.108	0.1685186	92.108	0.110315509	92.269	0.1370922	92.107	0.123366013	92.116	0.148364142	92.113	0.1472158	92.091	0.171584249	NA	NA
93.123	0.118128158	93.113	0.172014818	93.108	0.117834724	93.269	0.132344037	93.107	0.122698285	93.116	0.144767568	93.113	0.150252059	93.141	0.171884671	NA	NA
94.122	0.118473969	94.113	0.175973415	94.108	0.11603082	94.269	0.132811949	94.107	0.1278756	94.116	0.146061808	94.113	0.151134431	94.091	0.174279332	NA	NA
95.123	0.11468491	95.113	0.176468432	95.108	0.118793271	95.269	0.134627521	95.107	0.119740926	95.116	0.145735517	95.113	0.1479168	95.094	0.173912123	NA	NA
96.123	0.118888177	96.113	0.1708461	96.108	0.111555539	96.269	0.13283588	96.107	0.119314864	96.116	0.145336255	96.113	0.15065518	96.094	0.172675565	NA	NA
97.123	0.120533049	97.113	0.171772018	97.108	0.116267934	97.269	0.13973996	97.107	0.121699385	97.116	0.146042332	97.113	0.150946692	97.094	0.172354728	NA	NA
98.123	0.123988561	98.113	0.169232145	98.108	0.11637865	98.269	0.1377881	98.107	0.123831496	98.116	0.142240912	98.113	0.149620473	98.094	0.173295185	NA	NA
99.123	0.115531065	99.113	0.172996849	99.108	0.117506087	99.269	0.1368914	99.107	0.124836378	99.116	0.148863152	99.113	0.151749909	99.094	0.174266458	NA	NA
100.123	0.11502707	100.113	0.170116156	100.108	0.118063182	100.269	0.137986273	100.107	0.121097758	100.116	0.150284439	100.113	0.151527733	100.094	0.17096892	NA	NA
101.123	0.119042084	101.113	0.1697738	101.108	0.115927629	101.269	0.139886275	101.107	0.126038522	101.116	0.1459261	101.113	0.149725616	101.094	0.171092629	NA	NA
102.123	0.119127885	102.114	0.173208773	102.108	0.114190377	102.269	0.134965181	102.107	0.12014284	102.116	0.14554961	102.113	0.152168453	102.094	0.17301096	NA	NA
103.123	0.118979514	103.114	0.172143266	103.108	0.114839889	103.269	0.139514953	103.107	0.122310318	103.116	0.145170748	103.113	0.150738046	103.094	0.171357155	NA	NA
104.123	0.119183525	104.114	0.170759127	104.108	0.113296241	104.269	0.140402526	104.107	0.123512305	104.118	0.147634119	104.113	0.149161711	104.094	0.173172548	NA	NA
105.123	0.117400542	105.114	0.171720251	105.108	0.1126883	105.269	0.13685061	105.107	0.121241756	105.118	0.150222063	105.113	0.150988623	105.095	0.173204422	NA	NA
106.123	0.114165768	106.114	0.167944014	106.108	0.114304349	106.269	0.1373188	106.107	0.123173282	106.118	0.144194275	106.113	0.1502937	106.095	0.172272712	NA	NA
107.123	0.118723191	107.114	0.169115633	107.108	0.11576999	107.269	0.13605006	107.107	0.1230618	107.118	0.145770311	107.113	0.148630366	107.095	0.17428717	NA	NA
108.123	0.11804983	108.114	0.17002061	108.108	0.117811725	108.269	0.13435699	108.107	0.124415129	108.121	0.150370792	108.113	0.150582671	108.095	0.172372133	NA	NA
109.123	0.119173147	109.114	0.167719483	109.108	0.116721742	109.269	0.133633733	109.107	0.1250545	109.122	0.146903336	109.115	0.150793	109.095	0.173060045	NA	NA
110.126	0.121608913	110.114	0.168201312	110.108	0.113514669	110.269	0.138789162	110.107	0.122691318	110.122	0.146436617	110.115	0.149951473	110.095	0.170342728	NA	NA
111.126	0.1204605	111.114	0.167599112	111.108	0.11654754	111.27	0.137420863	111.107	0.12204317	111.122	0.147714972	111.115	0.150770709	111.095	0.173093289	NA	NA
112.126	0.120392643	112.114	0.170815364	112.108	0.117760949	112.27	0.13809745	112.107	0.123657249	112.122	0.147017986	112.115	0.148761749	112.095	0.176451758	NA	NA
113.126	0.118971795	113.114	0.173599333	113.108	0.115821242	113.27	0.130059972	113.107	0.121192165	113.122	0.146720126	113.115	0.151126817	113.095	0.171259791	NA	NA
114.126	0.116685629	114.114	0.169963583	114.108	0.1189346	114.27	0.132892	114.107	0.120794617	114.122	0.146522328	114.115	0.151781619	114.095	0.172936454	NA	NA
115.126	0.116572812	115.114	0.174010679	115.108	0.115301237	115.27	0.1337691	115.107	0.121376656	115.122	0.147551969	115.115	0.151305079	115.095	0.1756732	NA	NA
116.126	0.12159688	116.114	0.17180796	116.108	0.117416106	116.27	0.1371231	116.107	0.122316875	116.122	0.145898148	116.115	0.150143087	116.095	0.172158062	NA	NA
117.126	0.118566304	117.114	0.171091422	117.108	0.118505776	117.27	0.136497989	117.107	0.124800429	117.122	0.145441055	117.115	0.1484721	117.095	0.172119156	NA	NA
118.126	0.116667554	118.114	0.166606113	118.108	0.119015686	118.27	0.13852331	118.107	0.128410742	118.122	0.146130517	118.115	0.146547616	118.095	0.17098321	NA	NA
119.126	0.117335446	119.114	0.171437785	119.108	0.1188286	119.27	0.13917321	119.107	0.118271954	119.122	0.147251561	119.115	0.148646712	119.095	0.173497647	NA	NA
120.126	0.120444633	120.114	0.167819843	120.108	0.118503936	120.27	0.133095726	120.107	0.120851114	120.122	0.14721033	120.116	0.151004791	120.095	0.173091263	NA	NA
121.126	0.119463913	121.114	0.169783175	121.108	0.115139008	121.27	0.1370963	121.107	0.123163171	121.122	0.146218553	121.116	0.151807368	121.095	0.172547236	NA	NA
122.126	0.119761929	122.114	0.168923467	122.108	0.117883109	122.27	0.1349629	122.107	0.1195429	122.122	0.14569129	122.116	0.149855644	122.095	0.173703387	NA	NA
123.126	0.119018883	123.114	0.172484368	123.108	0.118197538	123.27	0.134779856	123.107	0.12332242	123.122	0.1436616	123.116	0.150242418	123.095	0.174752563	NA	NA
124.126	0.119568594	124.114	0.166783437	124.108	0.1134614	124.27	0.132612363	124.107	0.121240139	124.122	0.145357519	124.116	0.149867624	124.095	0.169915661	NA	NA
125.126	0.1232309	125.114	0.169182882	125.108	0.115876451	125.27	0.132512674	125.107	0.122258596	125.122	0.147158772	125.116	0.151940539	125.095	0.17410478	NA	NA
126.126	0.119294576	126.114	0.174673885	126.108	0.1193818	126.27	0.135213315	126.107	0.124208592	126.122	0.14418152	126.116	0.150878057	126.095	0.1733916	NA	NA
127.126	0.1247197	127.114	0.1688817	127.108	0.117474556	127.271	0.134700671	127.107	0.1223196	127.122	0.1456328	127.116	0.149027422	127.095	0.174433216	NA	NA
128.126	0.121150784	128.116	0.167951673	128.108	0.117793977	128.271	0.131244734	128.108	0.121632472	128.122	0.146434873	128.116	0.149952024	128.095	0.171598643	NA	NA
129.126	0.12147674	129.116	0.1724913	129.108	0.11640285	129.271	0.139766946	129.109	0.121771723	129.122	0.146080181	129.116	0.149987981	129.095	0.17391333	NA	NA
130.126	0.1198233	130.116	0.166143954	130.108	0.117745891	130.271	0.135161817	130.11	0.122668773	130.122	0.147864759	130.116	0.152517751	130.095	0.171724841	NA	NA
131.126	0.118429221	131.116	0.170648992	131.108	0.113308191	131.271	0.136728019	131.11	0.124347419	131.122	0.1465224	131.116	0.1498357	131.095	0.172256857	NA	NA
132.126	0.116935655	132.116	0.1689659	132.108	0.112966135	132.271	0.137424812	132.11	0.123239212	132.122	0.14339523	132.116	0.148807585	132.095	0.172470108	NA	NA
133.126	0.122704446	133.116	0.1667701	133.108	0.119114727	133.271	0.130757809	133.11	0.122812182	133.122	0.145333752	133.116	0.149309531	133.095	0.173251808	NA	NA
134.126	0.121395476	134.116	0.168072715	134.108	0.113403991	134.271	0.137536749	134.111	0.123280704	134.122	0.143275037	134.116	0.150996208	134.095	0.175044641	NA	NA
135.126	0.1195862	135.116	0.166165382	135.108	0.115631156	135.271	0.135353208	135.111	0.121345453	135.122	0.147513211	135.116	0.148697048	135.095	0.174763232	NA	NA
136.126	0.117564179	136.116	0.170589417	136.108	0.115698911	136.271	0.133997783	136.111	0.124911107	136.122	0.146573037	136.116	0.151438624	136.095	0.170511052	NA	NA
137.126	0.114116132	137.116	0.170721263	137.108	0.111820452	137.271	0.135466635	137.111	0.126880363	137.122	0.146974087	137.116	0.14755024	137.095	0.173521474	NA	NA
138.126	0.11512094	138.116	0.170889825	138.108	0.11420083	138.271	0.1364184	138.111	0.123886675	138.122	0.144638434	138.116	0.151120946	138.095	0.1758614	NA	NA
139.126	0.117165849	139.116	0.169932753	139.108	0.1177251	139.271	0.134779364	139.111	0.126201838	139.122	0.1454743	139.118	0.150537252	139.095	0.1737959	NA	NA
140.126	0.119443148	140.116	0.172010764	140.271	0.1354289	140.111	0.122752488	140.122	0.145974666	140.118	0.14838846	140.095	0.172424614	NA	NA	NA	NA
141.126	0.121176571	141.116	0.172365665	141.271	0.135922372	141.111	0.1193789	141.122	0.147353709	141.118	0.1481031	141.095	0.174761981	NA	NA	NA	NA
142.126	0.11623168	142.116	0.174060225	142.271	0.137916952	142.111	0.123926513	142.122	0.148992866	142.118	0.1477273	142.095	0.175582111	NA	NA	NA	NA
143.126	0.118181482	143.116	0.170189023	143.271	0.135035008	143.111	0.121295743	143.122	0.146707356	143.118	0.150360242	143.095	0.17408292	NA	NA	NA	NA
144.126	0.115660928	144.116	0.172006443	144.271	0.136072114	144.113	0.124346569	144.122	0.148380831	144.118	0.1501818	144.095	0.1732876	NA	NA	NA	NA
145.126	0.120854735	145.116	0.17190592	145.271	0.133910611	145.113	0.118608192	145.122	0.145453691	145.118	0.147165686	145.095	0.174623787	NA	NA	NA	NA
146.126	0.117096663	146.116	0.170235425	146.273	0.138307527	146.113	0.124790333	146.122	0.146435291	146.118	0.150388047	146.095	0.173403546	NA	NA	NA	NA
147.126	0.119989783	147.116	0.173576891	147.273	0.136808947	147.114	0.125454247	147.124	0.148994058	147.118	0.149560109	147.095	0.170166209	NA	NA	NA	NA
148.126	0.119670361	148.116	0.166857585	148.273	0.138081282	148.115	0.123772696	148.124	0.146185756	148.118	0.148870841	148.095	0.176588863	NA	NA	NA	NA
149.126	0.118623562	149.116	0.1689829	149.273	0.135395154	149.115	0.123178646	149.124	0.146796837	149.118	0.150839314	149.095	0.1716832	NA	NA	NA	NA
150.126	0.120183125	150.116	0.165727779	150.273	0.138673484	150.115	0.127158344	150.124	0.146996558	150.118	0.150314465	150.095	0.176039487	NA	NA	NA	NA
151.126	0.119526573	151.116	0.170220315	151.273	0.135862231	151.115	0.124583915	151.124	0.146207422	151.118	0.150022432	151.095	0.171656176	NA	NA	NA	NA
152.126	0.117846631	152.117	0.17026785	152.273	0.134505376	152.115	0.118593566	152.124	0.1504346	152.118	0.1515749	152.095	0.1753665	NA	NA	NA	NA
153.126	0.120676778	153.117	0.1712365	153.273	0.13622202	153.115	0.122952849	153.124	0.143927336	153.118	0.151520178	153.095	0.173389241	NA	NA	NA	NA
154.126	0.117816478	154.117	0.17059432	154.273	0.138459221	154.115	0.12344119	154.124	0.147194028	154.118	0.152631134	154.095	0.172097057	NA	NA	NA	NA
155.126	0.11771524	155.117	0.1738814	155.273	0.135240152	155.115	0.125844121	155.124	0.145499274	155.118	0.151886314	155.095	0.173928618	NA	NA	NA	NA
156.126	0.120421149	156.117	0.167927518	156.273	0.137485921	156.115	0.123226538	156.124	0.1439387	156.118	0.148197532	156.095	0.173256457	NA	NA	NA	NA
157.126	0.119442694	157.117	0.1691121	157.273	0.133400828	157.115	0.12441536	157.124	0.147421628	157.118	0.149558112	157.095	0.174053729	NA	NA	NA	NA
158.126	0.11719773	158.117	0.16999875	158.273	0.135058329	158.117	0.124234177	158.124	0.146733075	158.118	0.149274111	158.095	0.175371915	NA	NA	NA	NA
159.126	0.119413562	159.117	0.169264123	159.273	0.140730038	159.117	0.123160757	159.124	0.147580519	159.118	0.151236534	159.095	0.174142778	NA	NA	NA	NA
160.126	0.119208485	160.117	0.1658289	160.273	0.141150519	160.117	0.121660478	160.124	0.146199346	160.118	0.15012449	160.095	0.175296441	NA	NA	NA	NA
